               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.023432,            0.013737,            0.060038,             0.24051,            0.043161,            0.016897,            0.004037,            0.018801,           0.0084228,            0.046973,            0.070063,           0.0033263,           0.0033263
                   1,            0.016706,           0.0086507,            0.035072,            0.076213,             0.31565,             0.07276,            0.024608,            0.014577,            0.005873,             0.02608,            0.039898,           0.0064948,           0.0064948
                   2,            0.014382,           0.0071367,            0.026685,             0.13151,             0.32517,             0.11952,            0.047029,            0.012265,           0.0057112,            0.027241,           0.0095684,           0.0094983,           0.0094983
                   3,            0.012701,           0.0068333,            0.025689,             0.18486,             0.31034,             0.16712,             0.06785,            0.011399,           0.0051013,            0.022784,           0.0092575,           0.0092575,           0.0092575
                   4,            0.011616,            0.006371,            0.023695,             0.19758,              0.3666,              0.2089,             0.09402,            0.010101,           0.0049197,            0.021203,           0.0092575,           0.0092575,           0.0092575
                   5,            0.010667,           0.0060424,            0.022502,             0.22975,             0.34353,             0.23793,             0.11122,           0.0095011,            0.004787,            0.020405,             0.00901,             0.00901,             0.00901
                   6,            0.010035,           0.0057235,            0.021016,             0.27785,             0.37342,             0.27683,             0.13488,           0.0090013,           0.0044576,            0.019107,           0.0087625,           0.0087625,           0.0087625
                   7,           0.0096003,           0.0053811,            0.019986,             0.28342,             0.43722,              0.3025,              0.1455,           0.0085475,           0.0042908,            0.018576,            0.008515,            0.008515,            0.008515
                   8,           0.0092809,           0.0053466,            0.020015,             0.24218,             0.41837,             0.29205,             0.14343,           0.0086249,           0.0043442,            0.019202,           0.0082675,           0.0082675,           0.0082675
                   9,           0.0091346,           0.0053945,            0.019766,             0.30047,             0.41088,             0.30299,             0.15397,           0.0082334,           0.0042642,            0.018353,             0.00802,             0.00802,             0.00802
                  10,           0.0088518,           0.0051546,             0.01861,             0.33824,             0.39069,             0.33228,              0.1758,           0.0080023,           0.0041645,            0.018363,           0.0077725,           0.0077725,           0.0077725
                  11,           0.0086569,           0.0050608,             0.01846,              0.3313,             0.42674,             0.33014,             0.17264,           0.0078572,           0.0041122,            0.017792,            0.007525,            0.007525,            0.007525
                  12,           0.0084701,            0.005003,            0.018008,             0.32289,             0.44325,              0.3447,              0.1824,           0.0076045,           0.0041362,            0.017754,           0.0072775,           0.0072775,           0.0072775
                  13,           0.0083137,           0.0048608,            0.017427,             0.32126,             0.45625,             0.35446,             0.19365,           0.0076463,           0.0039743,            0.016845,             0.00703,             0.00703,             0.00703
                  14,           0.0081412,           0.0048383,            0.017395,              0.4655,             0.40925,             0.36687,             0.19869,           0.0073566,           0.0039013,            0.016382,           0.0067825,           0.0067825,           0.0067825
                  15,           0.0079481,           0.0047293,            0.016272,             0.38721,             0.43081,             0.37522,             0.21105,           0.0072279,           0.0038475,            0.016026,            0.006535,            0.006535,            0.006535
                  16,           0.0078366,           0.0046903,            0.016699,             0.33048,             0.47788,             0.37138,             0.20314,           0.0071875,           0.0039463,            0.016551,           0.0062875,           0.0062875,           0.0062875
                  17,            0.007748,           0.0046773,            0.016356,              0.3875,             0.44543,             0.38919,             0.21571,           0.0070623,           0.0038035,            0.015609,             0.00604,             0.00604,             0.00604
                  18,           0.0076949,           0.0046233,            0.015962,             0.48138,             0.38882,             0.38409,             0.21853,           0.0071043,            0.003846,            0.015689,           0.0057925,           0.0057925,           0.0057925
                  19,           0.0075546,           0.0045863,            0.015259,             0.42917,             0.44739,             0.39644,              0.2252,           0.0070258,           0.0037765,            0.015641,            0.005545,            0.005545,            0.005545
                  20,           0.0075115,           0.0045595,            0.014971,             0.43409,             0.44958,             0.40449,             0.22748,           0.0069272,           0.0037002,            0.014919,           0.0052975,           0.0052975,           0.0052975
                  21,           0.0074528,           0.0044977,            0.014746,             0.42285,             0.47545,             0.41135,             0.23731,           0.0067894,           0.0037229,            0.014831,             0.00505,             0.00505,             0.00505
                  22,           0.0074341,           0.0044962,            0.014474,             0.44496,             0.44576,             0.41512,             0.23843,           0.0067588,           0.0037083,            0.014747,           0.0048025,           0.0048025,           0.0048025
                  23,           0.0073528,           0.0044921,            0.014365,             0.46029,             0.43403,             0.40751,               0.235,           0.0067421,            0.003735,            0.014825,            0.004555,            0.004555,            0.004555
                  24,            0.007262,           0.0044075,            0.014165,             0.47449,             0.45532,             0.42146,             0.24478,           0.0067034,             0.00367,            0.014365,           0.0043075,           0.0043075,           0.0043075
                  25,           0.0072289,           0.0044063,            0.014058,              0.4493,             0.46239,             0.42228,             0.24514,           0.0066025,           0.0036582,             0.01387,             0.00406,             0.00406,             0.00406
                  26,            0.007037,           0.0044116,            0.013659,             0.54313,              0.4217,             0.43741,             0.25946,           0.0065154,           0.0035771,            0.014095,           0.0038125,           0.0038125,           0.0038125
                  27,           0.0069456,            0.004372,            0.012947,              0.5227,             0.44511,             0.43318,             0.25171,           0.0065674,           0.0035624,            0.014456,            0.003565,            0.003565,            0.003565
                  28,           0.0070167,           0.0043007,            0.013113,             0.48637,             0.45078,             0.42863,             0.25455,           0.0065126,           0.0036041,            0.014831,           0.0033175,           0.0033175,           0.0033175
                  29,           0.0069834,           0.0043376,            0.012529,             0.50901,              0.4473,             0.43462,             0.25203,           0.0064684,           0.0035443,            0.014639,             0.00307,             0.00307,             0.00307
                  30,            0.006912,           0.0042031,            0.012239,             0.52403,             0.44159,             0.43636,             0.25843,           0.0064207,            0.003541,            0.013857,           0.0028225,           0.0028225,           0.0028225
                  31,           0.0068188,           0.0042499,            0.012103,             0.56759,             0.41327,             0.43282,             0.25556,           0.0064211,           0.0035719,            0.014781,            0.002575,            0.002575,            0.002575
                  32,           0.0067939,           0.0042191,            0.011566,             0.48499,             0.46614,             0.44243,             0.26037,            0.006308,           0.0035052,            0.014019,           0.0023275,           0.0023275,           0.0023275
                  33,           0.0066785,           0.0041614,            0.011506,             0.59824,             0.42504,             0.44845,             0.27021,            0.006306,           0.0034455,             0.01425,             0.00208,             0.00208,             0.00208
                  34,           0.0066534,           0.0040759,            0.010831,             0.54833,             0.45084,             0.45048,              0.2693,            0.006228,           0.0034261,            0.014055,           0.0018325,           0.0018325,           0.0018325
                  35,           0.0066371,           0.0040277,            0.010545,             0.56766,             0.43927,             0.44956,             0.26861,           0.0062056,           0.0034356,            0.014093,            0.001585,            0.001585,            0.001585
                  36,           0.0065736,           0.0040687,            0.010046,             0.55665,              0.4483,             0.45697,             0.27749,           0.0061643,           0.0034081,            0.014012,           0.0013375,           0.0013375,           0.0013375
                  37,           0.0064334,           0.0040334,           0.0097063,             0.52612,             0.47132,             0.45647,             0.27834,           0.0061238,           0.0034023,            0.014431,             0.00109,             0.00109,             0.00109
                  38,           0.0063824,           0.0040055,           0.0094592,             0.52479,             0.47015,             0.45218,             0.27392,           0.0061241,           0.0033862,            0.014244,           0.0008425,           0.0008425,           0.0008425
                  39,           0.0063327,           0.0039068,           0.0093492,             0.55948,             0.45144,             0.45962,             0.27829,           0.0060964,           0.0033838,            0.013955,            0.000595,            0.000595,            0.000595
